Note,Base URL,Created time,Date,Files,Related to Areas Database,Related to Projects Database,Related to Resources Database,Type,URL,Updated time
The most important thing in meeting,,"May 25, 2025 10:31 PM",05/25/2025,,[CC] Career Development (https://www.notion.so/CC-Career-Development-1f1406f970078170ad46f3ca86d81d59?pvs=21),,,Notes,,"May 25, 2025 10:36 PM"
在會計上，什麼是CAPEX與OPEX？,kblog.kaplan.com.hk,"May 25, 2025 10:41 PM",05/25/2025,,,,Fixed Assets (https://www.notion.so/Fixed-Assets-5b30143ba0ff4516930efe5854b28f9b?pvs=21),Research,https://kblog.kaplan.com.hk/2022/02/18/%E5%9C%A8%E6%9C%83%E8%A8%88%E4%B8%8A%EF%BC%8C%E4%BB%80%E9%BA%BC%E6%98%AFcapex%E8%88%87opex%EF%BC%9F/,"May 25, 2025 10:43 PM"
常見的幾種財務報表及其英文,,"May 25, 2025 10:50 PM",05/25/2025,,,,Fixed Assets (https://www.notion.so/Fixed-Assets-5b30143ba0ff4516930efe5854b28f9b?pvs=21),Notes,,"May 25, 2025 10:52 PM"
"[DMS] 簡道雲 PM System Infrastructure ",,"May 25, 2025 10:56 PM",05/25/2025,,,,Project Management (https://www.notion.so/Project-Management-1fe406f97007809d931ff6c3e0784faa?pvs=21),Notes,,"May 27, 2025 11:50 PM"
把 Notion 的任務串到 ChatGPT 讓他提每個任務的解決方案,,"May 25, 2025 11:22 PM",05/25/2025,,,,,Thoughts,,"May 25, 2025 11:22 PM"
Classes since 2024/1/5 to 2024/2/5,,"May 26, 2025 12:27 AM",05/26/2025,,,,[DM] Basic Internet Classes (https://www.notion.so/DM-Basic-Internet-Classes-1fe406f9700780a1bdfdf235146a7812?pvs=21),Notes,,"May 26, 2025 12:35 AM"
[DMS] 職缺內容撰寫,,"May 26, 2025 12:33 AM",05/19/2025,,,,Recruiters (https://www.notion.so/Recruiters-1fe406f97007803d86f3c71bb59562df?pvs=21),Documentation,,"May 27, 2025 11:50 PM"
[DMS] 鞋業代工的老師傅去處,,"May 26, 2025 12:35 AM",05/26/2025,,,,Fixed Assets (https://www.notion.so/Fixed-Assets-5b30143ba0ff4516930efe5854b28f9b?pvs=21),Thoughts,,"May 27, 2025 11:50 PM"
(1197) 美債拍賣爆冷，讓比特幣上看 50~100 萬美元？ - YouTube - 腦哥 Chill塊鏈,youtube.com,"May 26, 2025 1:30 PM",05/26/2025 13:28 (GMT+8),,"[CC] Financial (https://www.notion.so/CC-Financial-1ff406f9700780959857f59c3bca3cb0?pvs=21), [CC] Blockchain (https://www.notion.so/CC-Blockchain-1ff406f9700780e0a4ffc964f5c78f83?pvs=21)",,,Research,https://www.youtube.com/watch?v=l9YWD8O5JAU&t=265s,"May 28, 2025 11:20 PM"
[DMS] Refactor FAS Architecture,,"May 26, 2025 3:15 PM",05/26/2025,,,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),,Thoughts,,"May 27, 2025 11:50 PM"
[DMS] IDM2 IoT 稼動率接收,,"May 26, 2025 5:06 PM",05/26/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"July 17, 2025 6:05 PM"
國際理財金融講座 with sister,,"May 27, 2025 7:39 PM",05/27/2025,,[CC] Financial (https://www.notion.so/CC-Financial-1ff406f9700780959857f59c3bca3cb0?pvs=21),,,Notes,,"July 9, 2025 10:18 PM"
Software Engineering Type Option Reference,,"May 28, 2025 12:32 AM",05/28/2025,,[CC] Software Engineering (https://www.notion.so/CC-Software-Engineering-200406f970078083b2abd5d36bfd3989?pvs=21),,,Documentation,,"May 28, 2025 12:34 AM"
[DMS] 報價單查詢功能 (無設定權限公開查詢),,"May 28, 2025 9:27 AM",05/28/2025,,,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),Fixed Assets (https://www.notion.so/Fixed-Assets-5b30143ba0ff4516930efe5854b28f9b?pvs=21),Thoughts,,"May 28, 2025 2:35 PM"
[DMS] Blazor 系統多國語言設計解決方案,,"May 28, 2025 2:31 PM",05/28/2025,,[CC] Software Engineering (https://www.notion.so/CC-Software-Engineering-200406f970078083b2abd5d36bfd3989?pvs=21),[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),,Thoughts,,"May 28, 2025 2:39 PM"
[DMS] CSW6 IoT 稼動率接收 (永州湘威運動用品有限公司),,"May 28, 2025 3:18 PM",05/28/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"July 9, 2025 2:06 PM"
[DMS] VDM IoT 稼動率接收,,"May 28, 2025 3:34 PM",05/28/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"July 31, 2025 1:26 PM"
[DMS] CEY IoT 稼動率接收 (永州創永運動用品有限公司),,"May 28, 2025 5:51 PM",05/28/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"July 25, 2025 9:55 AM"
[ECL] Life situation,,"May 28, 2025 7:04 PM",05/28/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"June 5, 2025 7:57 PM"
