Resource,Created time,Last edited time,Related to Areas Database,Related to Notes Database,Related to Projects Database,Tags
Fixed Assets,"May 25, 2025 10:41 PM","May 25, 2025 10:55 PM",,"在會計上，什麼是CAPEX與OPEX？ (https://www.notion.so/CAPEX-OPEX-66cdfa87973f428284a82dd805a14147?pvs=21), 常見的幾種財務報表及其英文 (https://www.notion.so/1fe406f97007809f926bd0a9b7f6d3d0?pvs=21), [DMS] 鞋業代工的老師傅去處 (https://www.notion.so/DMS-1fe406f97007806aa718d3414960e646?pvs=21), [DMS] 報價單查詢功能 (無設定權限公開查詢) (https://www.notion.so/DMS-201406f970078049bf20f700956b8130?pvs=21), [DMS] 製作判別機台自動化稼動率功能 (https://www.notion.so/DMS-206406f9700780828c1dcf64c06209d1?pvs=21), [DMS] 資產管理系統 Roadmap&時間表 (https://www.notion.so/DMS-Roadmap-206406f97007806cafd9e2f5f56effdd?pvs=21), [DMS] 會計查看採購單&申請單方式 (https://www.notion.so/DMS-208406f97007804380aceb9e8694cc16?pvs=21), [DMS] 產能利用率 (https://www.notion.so/DMS-209406f9700780478abbf04a32a85d8f?pvs=21), [DMS] 資產調撥功能 (https://www.notion.so/DMS-209406f9700780ff8abcfa087a68cd95?pvs=21), 照片或文字檔案解析功能 - Azure Document OCR AI Service (https://www.notion.so/Azure-Document-OCR-AI-Service-0dd129a68bd346c99280e074bfbbe8ee?pvs=21), ISO 55001:2014 (https://www.notion.so/ISO-55001-2014-f21d781e01b94e45ae93a60f5b97b6d7?pvs=21), 模具監測功能 (https://www.notion.so/215406f97007801b994beb2f688c7e3c?pvs=21), ISO 標準中的 FAS 解析 (https://www.notion.so/ISO-FAS-8c02d01169c44c41b7ab1f12d3d70bb9?pvs=21), [DMS] 固定資產折舊方法 (https://www.notion.so/DMS-217406f9700780e1bda1ea66ea6d3ff4?pvs=21), [DMS] 五國固定資產折舊法規整合報告  (https://www.notion.so/DMS-217406f970078030b14bc5d59990b454?pvs=21), [DMS] 直線法折舊詳細解析與各國差異比較 (https://www.notion.so/DMS-217406f970078015a4f2df48dddcaba3?pvs=21), [DMS] FineBI 報表 (https://www.notion.so/DMS-FineBI-218406f9700780728197f89cad1b0fa8?pvs=21), [DMS] 鞋業設備相關知識紀錄 (https://www.notion.so/DMS-21b406f970078059bd9be84bbaf54c94?pvs=21), [DMS] FAS 發表報告 (https://www.notion.so/DMS-FAS-222406f97007805bb614fb0914e8ca4c?pvs=21), 資產零配件費用歸屬討論會議 (https://www.notion.so/245406f9700780c8b233df768f66086b?pvs=21), IoT API - Cursor Project Rules Guide (https://www.notion.so/IoT-API-Cursor-Project-Rules-Guide-248406f97007806388d5efb821bb3fca?pvs=21)",,Reference
Project Management,"May 25, 2025 10:54 PM","May 25, 2025 10:56 PM",,"[DMS] 簡道雲 PM System Infrastructure  (https://www.notion.so/DMS-PM-System-Infrastructure-1fe406f970078064ad12cfcbf7450043?pvs=21), 專案管理三角形：這是什麼，如何使用？ [2025] • Asana (https://www.notion.so/2025-Asana-d7454ba1f5fe49569f7c1333a960697b?pvs=21), 內部報酬率IRR是什麼？優缺點分析 (https://www.notion.so/IRR-c85c022ef0624996b3b2d759788c105f?pvs=21)",,Reference
[DM] Basic Internet Classes,"May 26, 2025 12:24 AM","May 26, 2025 12:27 AM",,Classes since 2024/1/5 to 2024/2/5 (https://www.notion.so/Classes-since-2024-1-5-to-2024-2-5-1fe406f9700780ae8a40c9e155ef634f?pvs=21),,Records
Recruiters,"May 26, 2025 12:30 AM","May 26, 2025 12:33 AM",,"[DMS] 職缺內容撰寫 (https://www.notion.so/DMS-1fe406f97007804eab79eac32805e0f6?pvs=21), [DMS] 全端工程師求職紀錄 (https://www.notion.so/DMS-215406f9700780a1abc9e25913b4f243?pvs=21)",,Records
Azure AI,"May 30, 2025 11:01 AM","June 19, 2025 5:17 PM",[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),"Course Planning (https://www.notion.so/Course-Planning-66471685372a4eb494e147ca3975d534?pvs=21), [DMS] 可以做一個 Azure Open AI 的 FAS Quotation Blob Search 實驗 (https://www.notion.so/DMS-Azure-Open-AI-FAS-Quotation-Blob-Search-20d406f970078040b77ec8ac037d6666?pvs=21), What’s AI Enrichment In Azure AI Search？ (https://www.notion.so/What-s-AI-Enrichment-In-Azure-AI-Search-216406f9700780809049fa8edf92afa7?pvs=21), Indexer overview - Azure AI Search (https://www.notion.so/Indexer-overview-Azure-AI-Search-f363c2e2962048b7851e9239b4d57015?pvs=21), (1376) Vector Databases simply explained! (Embeddings & Indexes) - YouTube - AssemblyAI (https://www.notion.so/1376-Vector-Databases-simply-explained-Embeddings-Indexes-YouTube-AssemblyAI-55035b5ebebb4fa79106bd03eab90be7?pvs=21), Zeabur 講座活動 (https://www.notion.so/Zeabur-219406f970078086927cf2f16e93bb86?pvs=21), [AI Search] Search Practical Exercise 1 (https://www.notion.so/AI-Search-Search-Practical-Exercise-1-21a406f9700780a48384c80f947e703c?pvs=21), [AI Search] Partial 3 Core concept of the 3 Projection category  (https://www.notion.so/AI-Search-Partial-3-Core-concept-of-the-3-Projection-category-21d406f97007801bad0fc48f80bf6613?pvs=21), [AI Search] Partial 4 TF-IDF (Term Frequency- Inverse Document Frequency ) (https://www.notion.so/AI-Search-Partial-4-TF-IDF-Term-Frequency-Inverse-Document-Frequency-221406f9700780f68010d392d27da990?pvs=21), Embedding Model (https://www.notion.so/Embedding-Model-221406f9700780559edfca048f382727?pvs=21), [AI Search] Partial 4 Azure AI Search 多語言架構解析 (https://www.notion.so/AI-Search-Partial-4-Azure-AI-Search-221406f97007807da2c6c6a078148199?pvs=21), Azure AI Learning Notes (https://www.notion.so/Azure-AI-Learning-Notes-205406f9700780d78c5fd45de96a1020?pvs=21), 資料檢索技術 - Index 在文章裡面的呈現&倒排索引(Inverted Index) (https://www.notion.so/Index-Inverted-Index-c283f5cc38f44e6a8b957af959ccb207?pvs=21), RAG (Retrieval-Augment Generation) (https://www.notion.so/RAG-Retrieval-Augment-Generation-228406f970078007b15dee133f291c63?pvs=21), Azure AI Language project life circle (https://www.notion.so/Azure-AI-Language-project-life-circle-22f406f9700780379a0bca3d50a92d41?pvs=21), Azure AI Language vs. Embedding vs. RAG (https://www.notion.so/Azure-AI-Language-vs-Embedding-vs-RAG-22f406f97007808c829fead09344df8e?pvs=21), Named Entity Recognition (NER) in Python: Pre-Trained & Custom Models - YouTube - NeuralNine (https://www.notion.so/Named-Entity-Recognition-NER-in-Python-Pre-Trained-Custom-Models-YouTube-NeuralNine-f7fc447d0ce048be9a51638689df2658?pvs=21)",Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),Reference
Azure,"June 19, 2025 5:17 PM","June 19, 2025 5:37 PM",,"[DMS] Pricing Invoice (https://www.notion.so/DMS-Pricing-Invoice-217406f97007803bb823e5b3fdcb6d8b?pvs=21), [AI Search] Partial 3 Core concept of the 3 Projection category  (https://www.notion.so/AI-Search-Partial-3-Core-concept-of-the-3-Projection-category-21d406f97007801bad0fc48f80bf6613?pvs=21), Azure AI Learning Notes (https://www.notion.so/Azure-AI-Learning-Notes-205406f9700780d78c5fd45de96a1020?pvs=21), RAG (Retrieval-Augment Generation) (https://www.notion.so/RAG-Retrieval-Augment-Generation-228406f970078007b15dee133f291c63?pvs=21), Azure AI Language vs. Embedding vs. RAG (https://www.notion.so/Azure-AI-Language-vs-Embedding-vs-RAG-22f406f97007808c829fead09344df8e?pvs=21), Microservice Meeting (https://www.notion.so/Microservice-Meeting-23b406f970078055bec6cf85bbd10d47?pvs=21), IoT API - Cursor Project Rules Guide (https://www.notion.so/IoT-API-Cursor-Project-Rules-Guide-248406f97007806388d5efb821bb3fca?pvs=21)",Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),Records
Sales,"June 19, 2025 11:06 PM","June 19, 2025 11:08 PM",[CC] Network (https://www.notion.so/CC-Network-1f1406f97007814c8f77f5e4ced30dfb?pvs=21),六個人的小世界－我的朋友怎麼剛好他也認識？ (https://www.notion.so/99dc1c97a6794819bb527126e88d44ff?pvs=21),,Records
Mathematics,"June 29, 2025 2:53 PM","June 29, 2025 2:55 PM","[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21), [CC] Data Analysis (https://www.notion.so/CC-Data-Analysis-200406f97007801a8550d5bd0612c988?pvs=21)","對數 Logarithm (https://www.notion.so/Logarithm-221406f9700780c59eebea31ace562d2?pvs=21), [AI Search] Partial 4 BM25 (Best Matching 25) (https://www.notion.so/AI-Search-Partial-4-BM25-Best-Matching-25-221406f970078050b01effd3d7910f89?pvs=21), [AI Search] Partial 4 白話圖解 - 什麼是 TF-IDF (https://www.notion.so/AI-Search-Partial-4-TF-IDF-6dd74223ca0c41c885cd5600c43a2a88?pvs=21), [AI Search] Partial 4 白話圖解 - 什麼是 BM25 (https://www.notion.so/AI-Search-Partial-4-BM25-7d6b3b0ed3ed4ca0981fb2edb8223a08?pvs=21), [AI Search] Partial 4 TF-IDF (Term Frequency- Inverse Document Frequency ) (https://www.notion.so/AI-Search-Partial-4-TF-IDF-Term-Frequency-Inverse-Document-Frequency-221406f9700780f68010d392d27da990?pvs=21)",Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),Reference
Data Warehouse,"June 30, 2025 9:17 PM","July 8, 2025 9:29 AM",,維度表空值處理 (https://www.notion.so/222406f9700780e69969fcb2f17f6f38?pvs=21),,Reference
Stock,"July 9, 2025 10:20 PM","July 9, 2025 10:20 PM",,"Investment Strategy Tracking (https://www.notion.so/Investment-Strategy-Tracking-22b406f970078055956dc1fff7f363b3?pvs=21), 左側交易者/右側交易者是什麼？要選擇哪一種交易策略比較好？ - Mr.Market市場先生 (https://www.notion.so/Mr-Market-96885f5ed8e24e28bbc9484483c2465c?pvs=21)",,
